item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57
2349,C,D,D,A,D,B,B,B,D,B,B,A,A,D,C,D,D,C,C,B,D,A,B,A,B,D,D,D,A,A,D,D,C,C,C,B,D,A,A,B,A,B,B,A,A,A,D,C,D,D,B,C,B,B,A,C,A
2350,A,D,D,D,A,A,A,A,A,C,C,C,C,B,A,A,B,C,D,B,A,C,B,B,D,B,A,A,B,B,A,C,A,A,D,B,D,D,A,A,D,B,C,B,B,C,A,A,A,C,A,A,C,B,A,A,D
2351,C,A,D,C,D,C,B,C,C,B,A,B,C,B,A,A,A,D,B,B,A,D,C,C,A,B,D,A,C,B,A,B,B,B,A,D,B,A,D,A,A,B,A,A,D,C,D,B,D,B,A,A,C,B,B,A,D
2352,A,B,A,C,A,A,B,D,A,C,A,D,C,A,A,C,C,B,D,A,B,D,A,A,C,D,D,C,C,C,D,C,A,B,C,C,D,D,C,A,A,B,B,D,A,B,D,A,C,D,C,C,B,A,A,C,D
2353,D,A,C,B,C,B,A,D,B,A,D,C,A,C,A,D,D,D,A,C,B,B,B,B,C,A,C,A,C,C,C,D,A,D,A,C,C,D,A,A,C,A,C,D,D,B,C,A,B,C,A,B,A,D,B,C,D
2354,D,B,D,A,B,C,A,D,C,B,B,B,D,B,C,D,C,B,D,B,C,B,D,D,C,D,B,A,D,B,D,D,A,C,A,C,C,A,B,C,D,D,A,D,D,B,A,D,A,B,A,C,D,A,A,B,D
2355,A,B,B,A,D,A,A,B,B,D,C,D,D,C,B,B,C,C,D,D,B,A,B,D,C,C,B,A,C,D,D,D,D,A,D,C,B,A,D,B,D,C,A,A,D,A,B,A,B,C,D,C,B,B,C,A,D
2356,C,D,D,B,B,D,C,A,C,A,B,B,A,D,D,C,B,D,A,D,A,A,B,A,B,A,D,C,D,C,C,A,D,D,A,A,C,B,B,C,C,D,D,A,C,D,B,D,A,B,B,C,A,B,C,B,C
2357,C,B,B,D,D,B,D,B,B,B,C,B,D,C,D,D,B,B,D,A,C,A,B,D,D,B,D,A,C,C,D,B,D,C,A,D,D,A,B,A,A,A,B,C,C,B,A,B,C,A,D,D,D,A,C,C,C
2358,B,D,B,C,A,C,D,C,C,A,C,C,A,A,C,C,B,D,D,B,A,C,C,D,D,A,D,B,D,A,C,A,C,A,B,A,D,D,A,C,A,A,A,D,B,B,A,A,B,C,B,D,D,A,D,A,A
2359,C,A,B,D,B,B,A,A,A,D,B,A,D,D,B,C,B,B,A,D,D,B,D,A,B,A,A,D,A,A,D,D,D,D,A,C,D,B,D,B,B,B,B,B,C,B,D,C,D,C,A,B,A,D,D,D,A
2360,B,C,D,C,D,B,C,B,C,A,D,D,A,C,C,A,C,A,C,C,B,C,A,A,D,C,D,B,A,C,D,A,A,C,A,A,A,C,B,C,D,C,A,D,A,B,D,D,C,B,A,C,D,B,A,D,D
2361,B,A,C,C,C,A,B,C,C,D,D,D,C,D,C,B,C,B,C,A,A,D,C,B,A,B,D,A,A,B,B,D,D,B,C,B,A,D,B,D,A,C,A,A,D,C,D,C,C,D,C,C,A,D,D,B,A
2362,A,B,A,C,D,C,C,A,D,C,A,B,C,B,A,C,C,D,D,A,B,D,D,A,A,D,C,C,D,D,A,C,A,C,A,C,A,C,A,C,C,D,D,B,C,B,B,C,B,B,C,C,C,B,D,C,D
2363,A,A,D,A,D,D,D,C,A,C,D,A,D,D,A,D,B,A,D,D,A,B,D,C,A,B,A,A,C,C,D,C,B,D,C,B,A,B,C,A,A,B,D,B,D,D,C,D,A,C,B,A,D,D,B,C,C
2364,C,C,D,C,A,B,A,A,C,C,A,B,D,A,D,B,A,D,D,D,C,B,B,C,A,B,C,D,A,C,C,A,A,A,B,A,A,D,D,A,C,C,B,A,A,D,C,D,A,D,D,C,A,C,A,C,A
2365,C,A,A,D,C,C,C,B,D,D,D,D,D,B,C,B,D,A,B,C,C,C,C,A,B,B,C,B,B,A,A,D,B,C,A,C,B,B,A,A,D,D,B,D,B,B,B,B,A,D,C,D,C,C,A,B,C
2366,A,A,A,B,B,B,D,B,D,B,B,A,A,D,B,C,B,B,B,A,A,A,A,B,B,D,D,A,A,A,B,C,B,B,B,C,C,C,C,C,B,C,C,A,D,A,B,A,B,D,B,B,B,A,B,C,B
2367,B,C,A,C,B,B,A,D,C,D,B,B,D,D,B,A,B,C,B,B,A,A,B,A,B,B,C,D,D,B,A,D,D,A,B,D,B,D,B,D,B,B,D,A,A,A,B,B,C,A,B,D,C,D,A,C,B
2368,C,C,C,A,B,D,C,A,D,A,C,C,C,A,C,C,B,A,D,B,A,D,C,D,D,D,A,C,C,A,C,A,B,C,C,A,D,A,A,C,D,B,D,A,D,D,B,A,C,D,A,D,B,B,C,A,C
2369,B,B,A,B,C,A,B,D,B,D,A,A,B,A,B,A,B,B,C,A,D,D,C,B,A,C,C,C,D,D,A,A,C,C,A,B,D,B,A,C,A,C,B,D,B,B,C,D,A,B,C,A,D,D,C,A,A
2370,D,A,B,D,C,B,C,A,B,A,C,C,D,D,D,B,A,A,C,C,B,C,A,D,A,B,B,C,B,A,A,B,C,B,C,B,C,C,D,A,B,A,A,D,D,C,A,C,A,A,C,B,C,A,A,D,C
2371,B,D,A,C,D,D,B,B,B,C,D,A,A,D,B,D,B,D,A,B,B,A,D,B,B,D,D,D,D,C,B,A,C,A,B,D,B,A,A,C,A,C,A,B,A,B,D,C,A,C,B,B,A,D,D,B,D
2372,A,D,D,C,D,B,C,B,B,A,C,B,D,C,A,C,B,B,C,B,D,B,A,C,D,B,D,B,D,C,C,D,D,A,B,C,C,A,D,C,B,A,C,C,D,A,D,C,A,C,D,B,A,B,C,B,C
2373,C,A,B,D,D,B,D,B,B,C,C,C,C,B,B,C,A,D,B,D,B,D,B,C,C,B,A,C,C,C,D,C,B,C,B,D,C,A,B,C,B,B,A,C,A,A,A,A,D,A,C,B,D,B,B,D,C
2374,B,D,B,B,D,C,A,D,D,B,D,A,B,C,C,A,C,A,D,D,A,C,B,D,C,A,D,A,C,B,D,C,B,D,A,A,B,C,B,A,A,B,D,C,D,D,C,D,A,D,A,D,B,A,B,B,A
2375,D,A,B,B,D,D,D,D,D,D,A,C,C,B,B,A,A,A,B,A,A,C,C,C,A,C,A,B,D,C,B,A,A,D,D,C,A,D,B,D,A,A,D,B,B,B,A,B,D,C,D,C,D,A,C,B,D
2376,A,B,D,B,A,A,C,C,C,C,D,C,A,C,C,A,D,A,C,A,C,B,D,A,D,D,A,B,C,D,C,D,A,C,B,C,D,D,D,B,C,A,A,D,B,C,C,A,A,B,B,D,B,D,A,C,A
2377,C,B,A,B,A,B,C,C,A,C,A,D,A,B,B,B,C,C,A,A,C,D,C,C,A,A,B,C,D,A,D,D,C,C,B,A,C,A,A,D,C,A,D,A,D,A,A,B,A,D,C,D,A,D,B,B,D
2378,D,D,A,B,A,B,B,C,C,C,C,A,D,A,B,D,C,C,B,A,C,D,B,D,C,D,B,C,D,D,B,C,D,B,B,C,D,B,C,C,A,D,D,D,A,B,B,D,A,D,A,A,A,D,A,B,C
2379,D,D,C,C,D,D,D,D,A,A,C,B,C,D,D,D,D,C,D,B,B,C,C,D,A,A,D,D,A,C,A,B,B,D,D,D,C,A,B,A,B,B,D,B,D,D,D,B,C,B,A,C,A,C,A,C,C
2380,D,B,A,D,A,A,C,B,A,D,C,C,D,B,D,C,D,A,B,C,C,D,A,A,D,A,D,D,C,D,D,A,C,A,A,B,D,D,D,C,D,C,D,A,B,C,B,C,D,B,C,A,D,A,D,C,A
2381,B,A,C,B,C,B,C,C,B,B,C,A,A,A,B,B,B,A,C,C,B,A,C,D,D,D,B,A,C,D,B,A,C,D,D,D,A,A,B,B,D,C,C,C,D,B,C,B,D,A,A,C,B,C,B,A,D
2382,A,D,A,C,B,C,A,D,D,B,B,C,B,B,B,C,B,A,C,C,A,B,A,C,A,C,A,D,C,C,A,A,A,A,B,A,A,B,B,D,B,A,C,D,C,C,C,C,D,C,B,B,D,D,C,D,C
2383,D,C,A,A,B,B,B,B,B,C,B,D,D,C,B,C,C,A,C,B,B,C,B,D,A,A,D,A,B,D,A,A,C,C,C,B,A,C,D,B,C,D,A,A,B,A,C,A,B,C,D,C,C,A,A,B,A
2384,A,B,C,A,A,B,B,B,A,D,A,A,B,A,B,C,C,D,A,B,B,C,A,A,D,D,B,D,A,C,C,D,D,B,B,A,D,C,D,B,A,D,A,B,D,C,B,C,D,D,B,B,B,D,A,B,B
2385,D,A,D,A,D,B,B,D,D,A,A,A,B,C,D,B,D,C,C,C,D,C,B,A,A,B,D,B,A,B,A,D,D,D,B,D,D,D,A,D,A,C,D,C,C,A,B,B,D,C,C,B,A,C,D,D,B
2386,B,C,B,B,D,D,D,D,D,C,B,B,D,C,C,C,C,D,C,D,B,C,C,B,B,A,C,D,B,D,A,A,B,D,A,C,D,A,C,A,D,D,B,A,D,A,D,C,B,C,D,D,A,C,C,C,A
2387,B,A,D,B,A,C,D,B,B,B,A,B,C,D,C,B,A,B,A,D,B,C,C,B,B,A,D,B,C,B,D,D,C,D,A,C,B,A,C,B,B,A,C,B,D,B,D,C,D,D,A,C,A,B,B,A,A
2388,B,B,A,A,D,B,C,A,A,C,B,D,B,D,D,D,D,C,D,D,A,C,D,D,B,A,D,A,D,D,B,A,A,D,D,B,A,D,B,A,B,A,B,C,B,D,D,B,A,A,B,A,B,A,D,C,C
2389,D,B,D,A,C,A,D,B,B,B,C,B,D,C,B,C,B,A,B,A,C,A,D,D,A,A,A,B,A,B,A,C,D,C,A,A,D,C,D,D,A,B,A,D,D,A,B,A,A,D,B,B,B,D,C,D,B
2390,B,A,A,D,A,D,B,C,D,B,B,C,A,A,B,A,B,C,A,D,B,A,D,B,A,C,B,D,B,D,B,A,B,D,D,B,B,C,C,C,A,D,B,D,A,D,C,B,A,D,C,C,C,B,D,B,A
2391,A,C,B,B,D,B,C,C,C,A,D,A,D,B,A,D,D,A,C,A,C,A,C,A,A,C,A,D,C,D,B,A,C,A,D,A,D,C,B,B,B,A,C,B,C,C,D,D,A,A,C,B,D,D,C,C,A
2392,C,A,C,D,A,A,D,D,D,A,D,D,A,B,A,D,A,A,C,A,B,C,A,B,D,B,C,B,B,D,C,A,A,B,D,A,D,A,B,D,D,A,A,B,A,D,D,B,D,A,B,A,A,B,C,A,D
2393,A,A,A,C,D,A,C,D,B,C,C,A,B,C,C,B,A,B,C,B,A,A,A,A,C,A,C,B,B,B,C,A,C,B,C,B,B,D,A,D,D,A,D,A,C,C,D,D,A,C,A,A,A,D,C,A,B
2394,A,A,A,D,B,A,D,A,B,C,A,C,C,B,B,B,B,D,B,C,B,D,D,C,C,D,A,B,B,C,A,B,C,D,A,D,B,A,B,D,D,D,A,B,C,D,D,B,D,D,D,A,C,C,C,B,D
2395,A,C,A,B,A,B,D,C,B,B,A,D,D,C,C,B,D,B,A,A,C,A,D,A,B,B,B,D,D,A,B,A,B,B,D,B,B,A,B,D,A,A,A,A,C,C,B,C,B,A,C,A,D,C,C,D,B
2396,D,C,B,B,D,C,B,D,B,D,C,B,D,A,B,C,D,D,A,D,B,D,B,D,D,C,D,D,A,A,D,C,C,C,A,B,D,A,B,B,B,B,A,C,D,B,A,B,D,D,A,C,D,B,D,A,D
2397,A,B,A,B,D,A,B,A,D,D,D,B,B,D,A,A,D,B,C,B,C,A,D,B,B,A,B,A,A,D,A,C,A,D,A,D,C,A,B,B,C,A,A,C,A,D,A,A,D,B,B,B,D,B,C,A,C
2398,B,D,A,A,B,A,B,B,D,C,A,D,D,B,D,D,C,C,B,D,B,D,A,C,A,D,C,D,C,D,C,D,A,B,C,B,C,C,D,D,C,C,B,B,D,B,B,A,A,B,A,D,A,B,C,A,A
2399,D,A,B,D,D,D,A,D,A,C,D,A,D,A,C,A,C,C,D,C,B,C,C,C,D,A,A,C,A,B,C,B,C,C,D,D,D,C,B,C,D,B,D,C,C,C,A,D,A,B,B,D,C,C,C,D,D
2400,D,B,C,B,B,A,C,D,A,A,A,C,A,C,D,B,D,A,D,B,D,C,A,B,D,C,B,C,D,D,C,C,A,C,B,A,B,B,C,C,D,A,A,A,B,A,B,A,A,B,A,B,D,D,C,D,C
2401,A,B,C,A,B,A,B,A,B,B,D,B,A,B,D,C,B,A,D,D,B,A,B,D,A,D,B,C,A,B,B,C,D,A,D,A,D,C,A,C,A,D,A,C,D,D,D,A,C,A,C,C,C,B,C,D,B
2402,A,D,A,D,B,D,B,A,B,D,C,B,A,B,D,D,C,D,D,B,D,B,C,B,B,C,D,C,C,D,A,D,D,A,A,B,B,A,B,A,C,D,B,B,A,C,B,C,A,C,D,B,D,B,A,C,D
2403,A,A,C,D,A,D,A,B,D,D,C,B,B,D,A,C,D,C,B,B,A,A,A,B,A,C,D,C,A,B,B,C,A,A,B,D,D,D,C,B,D,A,C,C,B,D,C,A,D,C,A,B,A,A,C,C,B
2404,A,B,C,D,D,C,B,D,B,C,D,C,B,B,A,D,A,B,A,D,C,C,A,C,D,A,C,B,B,D,C,B,A,A,B,A,C,D,A,A,C,C,B,B,B,C,C,D,A,A,B,D,B,A,D,C,B
2405,B,B,D,B,C,D,A,C,D,C,A,C,D,A,C,C,C,B,A,D,C,C,A,A,B,C,D,B,C,B,B,D,B,B,B,B,D,D,D,B,B,B,D,B,C,B,A,B,C,B,D,B,C,C,A,A,C
2406,A,C,D,C,D,A,C,D,B,D,B,A,B,C,D,D,A,B,B,D,D,D,A,D,C,A,B,C,C,D,D,C,D,D,B,D,C,D,D,B,C,A,A,C,C,C,D,D,A,C,A,C,D,D,B,D,B
2407,B,C,C,C,B,D,B,D,B,D,C,D,A,C,D,B,B,C,B,A,B,C,B,B,C,B,A,A,B,A,D,A,A,D,B,B,B,D,B,C,B,B,A,B,D,D,B,A,B,C,B,A,D,A,B,C,C
2408,B,A,A,D,A,D,A,D,A,B,D,C,A,D,A,B,A,B,B,A,C,C,A,B,A,C,C,C,A,B,B,B,D,C,B,C,A,B,C,B,B,D,D,D,D,B,A,D,A,C,C,D,A,B,C,A,A
2409,B,C,B,C,B,C,A,B,C,B,D,A,B,D,D,B,D,D,A,B,C,C,B,B,A,C,D,D,C,A,A,B,B,A,A,B,D,C,D,A,B,A,A,C,B,D,C,B,C,D,C,B,C,A,A,A,A
2410,C,B,C,A,A,D,D,B,A,B,A,B,B,C,C,A,D,A,A,C,D,A,C,A,A,B,B,D,A,A,B,C,B,B,A,A,C,B,C,B,B,A,B,A,C,C,B,A,C,C,C,B,D,A,A,D,D
2411,D,A,C,D,A,A,D,C,D,A,B,A,B,D,D,A,A,B,B,A,A,B,D,C,A,C,C,C,C,D,B,C,D,B,A,B,D,C,C,B,D,C,C,B,A,C,D,C,C,B,D,C,C,D,A,D,C
2412,C,C,B,A,A,B,B,D,C,A,C,D,B,D,B,D,C,D,D,A,B,C,C,B,C,C,C,D,A,A,A,A,B,C,D,B,B,D,A,C,C,C,C,C,D,A,C,B,B,D,A,C,D,D,B,A,A
2413,C,B,A,D,C,B,D,B,C,A,B,C,C,C,C,C,D,D,C,C,D,D,D,C,B,D,B,B,C,C,C,B,C,A,D,C,B,A,A,C,A,B,C,D,C,B,B,B,B,C,A,C,C,B,B,D,B
2414,C,D,C,A,A,B,B,B,B,D,C,C,A,D,C,D,C,C,B,A,A,C,D,B,B,A,B,D,D,A,B,A,D,C,C,C,A,D,A,B,D,C,C,A,D,A,A,A,D,D,A,A,C,A,D,C,D
2415,B,D,A,B,A,D,A,C,B,A,A,C,B,D,D,B,C,B,B,A,A,C,C,B,C,A,D,A,D,C,B,B,C,A,A,B,C,C,B,C,C,A,B,C,D,A,A,D,A,C,D,B,C,D,C,C,D
2416,B,C,D,B,B,A,C,A,B,D,A,C,D,A,A,D,D,D,D,C,A,C,D,C,D,A,B,C,D,D,D,A,B,A,B,D,B,C,B,A,C,D,D,D,A,D,A,A,A,D,A,D,B,C,C,A,D
2417,C,C,A,B,A,B,C,C,C,C,C,A,D,A,D,D,D,A,B,C,B,B,D,D,B,A,A,C,A,B,B,B,B,C,D,B,D,C,D,C,B,D,D,C,A,D,B,C,D,C,C,C,D,B,A,A,B
2418,B,D,C,B,B,B,B,B,D,D,A,B,A,A,C,B,C,A,B,A,A,D,D,A,B,A,C,A,D,A,A,D,C,C,A,A,A,B,C,A,D,A,C,B,D,A,A,C,B,C,B,D,C,C,B,C,B
2419,B,D,A,C,A,B,A,C,B,A,A,B,D,D,C,A,C,D,C,A,A,A,B,D,D,A,D,C,C,A,B,D,C,D,D,A,C,A,D,A,C,A,C,D,C,A,B,B,C,A,C,D,D,D,C,B,A
2420,B,C,B,C,C,B,B,A,A,B,D,B,B,A,B,D,A,A,C,A,B,D,C,B,B,A,C,B,C,B,B,B,D,C,C,B,B,C,A,C,C,C,C,C,A,B,C,C,B,B,D,B,B,A,B,C,B
2421,B,D,D,A,D,D,B,A,B,A,D,A,B,A,C,D,D,D,C,C,D,A,D,A,D,B,A,D,B,D,B,D,C,B,B,D,A,C,C,B,C,C,B,A,A,B,B,C,D,A,C,D,A,D,B,D,D
2422,C,A,C,C,A,B,A,B,B,C,B,B,D,A,A,C,A,D,D,C,B,C,B,D,C,A,C,B,D,A,A,C,A,C,A,B,B,B,A,C,C,B,A,D,C,B,A,D,D,D,C,C,D,A,C,A,A
2423,A,D,D,B,C,B,D,D,D,D,B,C,C,C,A,A,C,D,A,A,C,D,A,A,D,C,C,B,C,D,D,A,A,C,B,B,B,D,B,C,D,A,A,A,C,D,B,D,B,B,C,B,C,D,A,A,C
2424,A,B,C,B,A,D,A,D,D,A,C,A,D,C,B,A,B,C,D,B,D,A,A,B,C,A,B,C,D,C,A,C,D,A,C,C,C,C,B,A,A,B,C,A,D,D,B,A,D,C,A,A,C,A,B,D,C
2425,B,A,C,B,C,C,C,B,B,A,B,D,B,D,A,B,D,B,D,D,D,D,C,B,B,A,D,A,D,C,A,B,A,B,B,B,C,C,D,C,D,B,C,A,D,C,A,B,D,B,A,D,D,B,B,D,C
2426,D,B,D,C,C,B,B,B,B,A,D,C,B,C,C,C,A,A,B,B,C,A,D,C,D,A,B,A,C,C,D,D,C,B,B,C,D,D,A,B,C,D,B,B,B,D,A,A,B,D,B,C,A,B,C,A,C
2427,C,D,A,C,C,D,A,A,A,B,D,B,D,A,C,B,D,B,C,D,B,A,A,C,C,C,A,C,D,B,B,B,D,C,A,A,D,D,A,D,A,D,D,D,B,D,C,D,C,B,B,D,C,C,D,C,D
2428,B,D,A,D,D,A,D,B,D,B,D,B,D,C,D,A,B,A,C,C,D,D,D,D,A,D,B,D,D,B,C,A,B,A,C,A,B,A,C,C,B,B,A,A,C,D,C,A,B,A,A,A,B,A,B,D,B
2429,C,A,A,A,B,A,C,A,B,D,C,A,D,B,C,C,D,D,C,D,A,D,A,D,B,B,A,B,A,B,A,C,D,D,B,A,D,A,A,A,B,D,C,B,D,D,C,B,D,B,C,C,B,B,D,A,D
2430,D,C,B,C,C,A,D,B,C,A,C,A,C,D,B,C,C,A,B,C,D,C,B,D,C,C,D,A,C,A,A,A,B,A,C,C,A,C,D,A,B,C,B,A,D,C,D,D,A,D,B,A,A,A,B,D,C
2431,A,D,A,D,A,C,D,D,B,B,A,A,B,B,B,B,B,B,C,B,B,D,D,A,A,A,B,B,D,A,A,A,D,C,D,B,A,B,D,A,B,C,D,D,B,B,D,B,B,B,D,D,C,C,C,C,C
2432,A,A,B,C,A,D,C,D,C,D,D,A,D,A,D,D,A,D,A,B,C,A,A,B,A,C,B,A,D,A,D,A,D,A,C,A,C,C,B,D,B,C,A,C,C,B,C,C,D,A,D,D,A,C,D,C,D
2433,C,A,D,D,B,C,D,D,D,D,D,C,D,C,C,B,A,D,A,A,A,A,B,D,B,D,D,B,A,C,B,C,C,D,B,A,A,D,A,A,C,A,C,B,D,A,B,D,D,B,C,C,A,D,C,C,D
2434,A,C,D,D,A,B,A,C,C,D,A,A,D,A,B,B,D,B,A,A,D,A,C,C,B,C,D,B,C,A,A,D,A,B,C,C,A,C,A,A,C,A,A,B,D,A,B,C,C,B,D,A,D,D,D,A,D
2435,C,A,C,D,B,B,C,D,A,B,C,B,C,D,A,D,C,C,B,A,C,D,D,B,B,B,C,C,C,B,C,A,D,D,C,C,D,D,A,D,B,D,B,B,B,C,B,D,D,C,D,A,C,D,C,A,B
2436,D,B,A,C,B,C,C,D,C,D,A,C,B,C,C,B,C,B,C,A,B,C,D,D,C,A,C,B,B,D,A,A,C,A,A,D,A,A,C,D,B,B,B,D,C,A,A,D,B,A,A,D,C,C,A,D,D
2437,B,C,D,B,B,A,A,C,A,B,B,D,D,D,A,C,C,C,C,A,D,D,A,C,B,D,D,D,B,C,B,C,A,D,A,D,B,D,A,D,B,A,D,D,D,B,A,A,C,B,A,A,C,B,B,A,C
2438,D,D,C,B,C,B,A,D,A,C,B,A,A,B,A,B,B,A,D,A,C,B,A,D,C,B,B,B,D,A,C,B,D,B,C,B,B,B,C,D,C,A,A,D,D,A,D,D,D,C,D,D,A,C,D,C,A
2439,B,D,B,B,A,C,A,A,A,D,A,D,D,B,C,B,A,B,B,D,B,D,D,D,B,C,C,B,A,B,B,D,C,B,C,C,D,B,D,B,B,C,A,A,A,A,B,C,B,A,B,D,D,A,B,B,D
2440,B,D,C,A,C,B,A,B,C,C,D,D,D,C,A,B,A,A,A,D,A,B,D,B,D,A,D,B,B,D,C,C,B,D,D,A,B,D,B,D,A,B,C,A,A,D,C,C,C,D,D,B,B,A,C,B,D
2441,C,D,C,D,D,D,B,D,A,B,B,A,C,B,C,C,D,B,A,A,B,D,C,A,B,A,B,B,C,A,D,D,B,C,D,D,D,B,A,B,D,A,B,D,B,C,C,A,C,C,A,C,C,B,A,C,C
2442,D,A,C,A,D,B,C,D,D,B,D,D,C,C,D,C,D,B,A,B,D,B,B,D,B,A,D,B,A,B,A,C,C,B,C,B,D,D,B,D,B,A,A,D,A,C,A,C,A,A,A,C,C,A,A,A,C
2443,B,D,B,D,B,C,B,C,A,B,B,D,A,D,C,A,C,B,B,C,B,B,D,B,A,D,C,C,D,B,B,D,B,C,B,A,D,D,B,A,D,C,D,B,B,D,A,B,C,B,A,B,D,A,C,C,D
2444,D,A,A,B,A,C,D,C,D,B,C,B,A,C,C,A,C,B,C,A,C,D,C,D,D,D,A,A,D,C,D,A,D,C,A,C,D,A,A,B,A,D,A,B,A,A,C,C,B,C,D,C,A,A,B,B,B
2445,B,A,C,A,C,C,B,C,C,B,B,B,B,A,C,B,C,C,B,D,B,A,B,D,B,C,C,A,D,C,C,C,D,D,A,C,A,D,B,D,A,A,B,B,C,C,A,D,C,C,C,A,D,B,D,C,C
2446,A,D,C,C,C,A,B,B,B,C,B,A,D,B,D,B,C,D,D,B,C,B,D,D,C,A,D,A,A,D,D,A,C,D,D,D,D,A,C,B,A,D,B,A,D,B,A,B,A,C,D,A,A,A,C,C,B
2447,D,D,C,D,A,D,C,D,C,B,D,A,A,D,C,B,C,D,B,B,A,D,D,B,A,B,B,B,D,A,D,A,D,A,D,B,B,B,B,B,A,C,A,C,A,C,D,B,A,A,C,A,B,B,D,B,B
2448,C,B,D,C,C,D,D,D,A,D,C,A,C,D,D,C,C,B,B,D,A,B,B,C,B,D,C,B,D,B,C,C,B,D,A,D,A,A,D,B,B,D,B,D,A,C,D,D,B,B,B,C,C,C,A,D,B
2449,B,C,A,D,B,A,D,C,D,D,A,A,D,C,A,D,D,C,A,A,A,C,A,A,D,C,B,D,A,B,C,B,C,C,A,A,D,D,C,C,D,C,C,A,D,D,C,D,D,C,B,D,B,A,C,A,A
2450,C,B,C,A,A,B,B,B,B,A,B,C,D,A,C,A,B,A,A,B,A,D,B,D,A,C,D,A,C,A,C,B,C,D,A,D,B,A,C,C,A,D,C,D,B,D,C,A,D,D,B,B,C,B,D,D,D
2451,B,C,B,C,B,A,C,C,D,B,D,A,A,D,A,C,C,A,D,D,D,C,B,A,A,A,A,A,C,C,D,C,B,A,A,D,C,B,C,A,C,D,B,A,C,C,C,C,B,D,B,A,D,B,C,B,B
2452,D,C,B,A,D,C,D,D,B,C,D,C,D,C,C,D,B,D,C,B,D,C,D,C,D,B,C,B,D,C,D,D,C,C,A,C,C,C,D,C,B,C,C,A,A,A,A,A,B,A,D,C,D,C,D,B,D
2453,C,D,A,C,A,C,A,C,C,B,D,D,D,D,C,C,C,C,D,C,B,C,B,D,C,A,D,C,D,A,B,B,A,B,C,C,B,D,C,B,C,D,A,C,B,B,D,C,B,A,B,C,B,A,D,B,B
2454,D,C,A,D,C,D,A,A,D,D,C,D,B,D,C,C,D,B,B,C,B,D,C,A,A,D,D,A,C,A,D,A,B,D,A,A,A,B,B,A,D,C,D,D,C,B,C,A,D,B,D,A,D,D,B,A,B
2455,A,B,C,B,A,C,D,A,D,C,C,A,C,B,A,B,A,C,A,D,C,B,A,D,D,B,B,D,C,A,D,C,D,B,A,A,C,D,A,A,C,B,C,B,B,D,A,A,C,D,D,C,D,B,D,D,D
2456,C,A,C,D,D,A,B,C,B,C,C,B,A,B,A,B,C,D,B,A,A,D,A,B,B,D,D,C,A,D,D,D,B,A,C,A,A,D,C,C,A,A,B,D,B,C,A,A,D,C,D,C,A,D,D,D,C
2457,A,A,D,A,B,A,B,C,C,D,B,B,D,A,A,B,C,B,C,B,D,A,D,C,C,A,D,C,C,C,C,B,A,C,D,A,C,B,A,C,B,C,D,C,A,A,A,C,C,B,C,D,B,D,C,D,C
2458,A,A,A,B,A,A,C,C,D,D,D,B,D,B,A,D,B,D,D,A,D,C,B,C,D,C,C,A,B,D,C,C,A,D,C,A,C,D,A,C,D,C,C,C,A,C,A,C,A,A,A,B,B,B,B,A,A
2459,D,A,B,D,D,C,D,C,B,B,D,B,B,C,A,C,A,A,A,C,B,D,C,B,C,B,A,D,B,C,B,A,B,A,B,B,B,C,C,B,D,D,B,C,A,D,B,C,C,C,D,C,A,A,A,B,A
2460,B,B,D,B,D,D,A,C,A,A,D,C,C,C,B,A,C,A,C,C,A,B,D,A,C,A,D,B,B,D,D,B,C,B,B,B,D,D,D,D,A,B,B,A,D,A,C,C,D,A,B,C,D,A,C,C,A
2461,C,C,B,B,D,A,A,D,D,D,C,D,D,B,A,D,D,A,A,D,C,D,C,A,C,B,C,C,D,B,A,C,B,C,A,A,D,C,B,D,B,B,A,B,A,A,D,A,B,B,A,A,B,D,B,A,C
2462,A,A,D,C,B,A,B,B,B,C,A,D,C,B,B,A,B,C,B,D,C,A,A,A,B,B,A,B,A,B,B,C,D,A,A,C,A,B,B,D,C,C,A,A,C,B,C,C,D,D,A,D,C,D,A,B,B
2463,A,D,B,B,D,B,B,A,B,D,D,C,A,B,D,C,C,C,B,B,B,A,C,D,B,D,C,D,C,D,A,B,D,B,B,B,C,C,B,C,B,B,C,D,B,B,A,C,B,A,A,C,C,B,A,C,B
2464,A,B,A,C,B,B,A,C,B,A,A,D,A,C,B,D,B,B,C,D,D,C,B,B,C,A,C,C,D,C,D,D,B,B,A,A,C,D,D,C,C,B,C,C,C,C,D,C,B,C,D,B,D,A,B,A,C
2465,A,D,C,C,C,A,C,A,A,B,D,C,B,C,D,D,C,C,B,D,C,A,A,D,C,D,A,C,B,A,D,B,C,B,D,C,C,A,C,A,D,B,A,A,A,A,A,C,C,A,B,D,D,D,C,B,D
2466,C,A,D,D,A,A,C,D,D,B,B,C,D,D,B,D,A,C,A,A,C,C,C,D,C,D,C,A,A,C,A,A,D,C,B,B,A,C,B,C,A,B,A,C,D,D,B,C,D,A,B,C,A,D,B,C,B
